PDS,ANZ_S,RTS_E22100.0,RTS_E22100.1,RTS_E22100.3,RTS_E22100.3.MW_A_PR,RTS_E22100.3.MW_M_PR,RTS_E22100.3.MW_A_PW,RTS_E22100.3.MW_M_PW,RTS_E22100.4,RTS_E22100.4.MW_A_PR,RTS_E22100.4.MW_M_PR,RTS_E22100.4.MW_A_PW,RTS_E22100.4.MW_M_PW,RTS_E22100.9,RTS_E22090.0,RTS_E22090.1,RTS_E22090.3,RTS_E22090.3.MW_A_PR,RTS_E22090.3.MW_M_PR,RTS_E22090.3.MW_A_PW,RTS_E22090.3.MW_M_PW,RTS_E22090.4,RTS_E22090.4.MW_A_PR,RTS_E22090.4.MW_M_PR,RTS_E22090.4.MW_A_PW,RTS_E22090.4.MW_M_PW,RTS_E22090.9,RTS_E22080.0,RTS_E22080.1,RTS_E22080.3,RTS_E22080.3.MW_A_PR,RTS_E22080.3.MW_M_PR,RTS_E22080.3.MW_A_PW,RTS_E22080.3.MW_M_PW,RTS_E22080.4,RTS_E22080.4.MW_A_PR,RTS_E22080.4.MW_M_PR,RTS_E22080.4.MW_A_PW,RTS_E22080.4.MW_M_PW,RTS_E22080.9,RTS_E22070.0,RTS_E22070.1,RTS_E22070.3,RTS_E22070.3.MW_A_PR,RTS_E22070.3.MW_M_PR,RTS_E22070.3.MW_A_PW,RTS_E22070.3.MW_M_PW,RTS_E22070.4,RTS_E22070.4.MW_A_PR,RTS_E22070.4.MW_M_PR,RTS_E22070.4.MW_A_PW,RTS_E22070.4.MW_M_PW,RTS_E22070.9,RTS_E22060.0,RTS_E22060.1,RTS_E22060.3,RTS_E22060.3.MW_A_PR,RTS_E22060.3.MW_M_PR,RTS_E22060.3.MW_A_PW,RTS_E22060.3.MW_M_PW,RTS_E22060.4,RTS_E22060.4.MW_A_PR,RTS_E22060.4.MW_M_PR,RTS_E22060.4.MW_A_PW,RTS_E22060.4.MW_M_PW,RTS_E22060.9,RTS_E22050.0,RTS_E22050.1,RTS_E22050.3,RTS_E22050.3.MW_A_PR,RTS_E22050.3.MW_M_PR,RTS_E22050.3.MW_A_PW,RTS_E22050.3.MW_M_PW,RTS_E22050.4,RTS_E22050.4.MW_A_PR,RTS_E22050.4.MW_M_PR,RTS_E22050.4.MW_A_PW,RTS_E22050.4.MW_M_PW,RTS_E22050.9,RTS_E22040.0,RTS_E22040.1,RTS_E22040.3,RTS_E22040.3.MW_A_PR,RTS_E22040.3.MW_M_PR,RTS_E22040.3.MW_A_PW,RTS_E22040.3.MW_M_PW,RTS_E22040.4,RTS_E22040.4.MW_A_PR,RTS_E22040.4.MW_M_PR,RTS_E22040.4.MW_A_PW,RTS_E22040.4.MW_M_PW,RTS_E22040.9,RTS_E22030.0,RTS_E22030.1,RTS_E22030.3,RTS_E22030.3.MW_A_PR,RTS_E22030.3.MW_M_PR,RTS_E22030.3.MW_A_PW,RTS_E22030.3.MW_M_PW,RTS_E22030.4,RTS_E22030.4.MW_A_PR,RTS_E22030.4.MW_M_PR,RTS_E22030.4.MW_A_PW,RTS_E22030.4.MW_M_PW,RTS_E22030.9,RTS_E22020.0,RTS_E22020.1,RTS_E22020.3,RTS_E22020.3.MW_A_PR,RTS_E22020.3.MW_M_PR,RTS_E22020.3.MW_A_PW,RTS_E22020.3.MW_M_PW,RTS_E22020.4,RTS_E22020.4.MW_A_PR,RTS_E22020.4.MW_M_PR,RTS_E22020.4.MW_A_PW,RTS_E22020.4.MW_M_PW,RTS_E22020.9,RTS_E22010.0,RTS_E22010.1,RTS_E22010.3,RTS_E22010.3.MW_A_PR,RTS_E22010.3.MW_M_PR,RTS_E22010.3.MW_A_PW,RTS_E22010.3.MW_M_PW,RTS_E22010.4,RTS_E22010.4.MW_A_PR,RTS_E22010.4.MW_M_PR,RTS_E22010.4.MW_A_PW,RTS_E22010.4.MW_M_PW,RTS_E22010.9
1784896,501,188,,,,,,,313,"1,00639","15,095847",",345934","5,189005",,215,106,29,1,45,",345092","15,529159",151,"2,622517","97,847682",",895826","33,478834",,37,20,60,"3,216667","133,5","1,107108","45,882203",384,"6,263021","345,625","2,13394","117,846767",,145,193,69,"4,028986","212,608696","1,382628","72,805896",94,"6,925532","377,553191","2,375321","129,496879",,17,,,,,,,484,"1,797521","112,623967",",614674","38,494032",,,44,96,"2,958333","139,6875","1,006427","47,540368",361,"4,598338","220,249307","1,570684","75,368555",,15,41,,,,,,445,"2,550562","153,033708",",870178","52,210698",,322,55,58,"4,724138","148,189655","1,590954","49,699123",66,"7,454545","225,227273","2,50192","75,566693",,64,46,72,"4,458333","139,583333","1,510308","47,275301",319,"7,507837","343,636364","2,541985","116,456658",,,4,19,"19,894737","625,263158","6,631897","208,726312",478,"34,280335","1238,378661","11,7076","423,120408",
1784897,204,1,,,,,,,203,"1,073892","18,399015",",34215","5,763123",,,4,16,"1,9375",45,",658922","15,21949",184,"3,244565","101,005435","1,032273","32,05021",,107,9,13,"4,846154","216,923077","1,217312","54,541487",75,"5,64","252,6","1,806387","81,040353",,54,75,30,3,"214,5",",95736","68,995087",45,"5,844444","413,777778","1,812258","129,616528",,35,11,4,2,"32,5",",65463","10,467593",154,"6,207792","172,5","1,950606","53,475489",,,152,38,"3,947368","146,447368","1,267673","47,111776",14,"14,142857","297,857143","4,273257","87,579248",,9,75,,,,,,120,"2,341667",195,",749333","62,461243",,150,14,15,"6,066667",195,"1,694921","54,833524",25,"7,72",258,"2,43005","81,262389",,77,8,20,"5,2",156,"1,647059","49,411765",99,"11,545455","561,919192","3,477555","170,501626",,,2,5,"19,8",600,"6,403704","194,211111",197,"64,598985","2295,736041","20,309458","721,057233",
1784898,246,,,,,,,,246,"1,069106","16,036585",",351381","5,270723",,,77,27,3,"46,296296","1,052242","16,237329",142,"7,352113","146,267606","2,303972","45,501548",,25,9,39,"4,717949","156,923077","1,530177","50,887188",173,"6,710983","240,520231","2,138637","76,794732",,6,46,82,"3,658537","215,182927","1,199588","70,736748",112,"7,258929","478,526786","2,316841","152,858595",,5,2,,,,,,239,"1,983264","149,686192",",646702","48,873579",,,,6,"6,166667","137,5","2,158333","48,125",240,"8,679167","272,5625","2,825382","88,756917",,9,8,,,,,,229,"2,842795","170,567686",",935883","56,152968",,12,191,17,"5,941176","166,764706","1,924619","54,044118",26,"9,192308","255,576923","3,022842","83,743186",,44,13,6,"4,666667",150,"1,425617","46,268519",183,"8,726776","454,754098","2,771855","143,391375",,,6,22,"21,636364","615,454545","7,272967","206,983093",218,"41,697248","1303,715596","13,279833","414,445724",
1956154,364,5,,,,,,,359,"1,013928","15,543175",",334766","5,1309",,2,,3,1,45,",35","15,75",359,"2,420613","168,175487",",794665","55,198352",,51,35,26,"2,230769","133,846154",",719285","43,15707",252,"4,789683","287,380952","1,58655","95,193011",,,4,11,"2,636364","237,272727",",747021","67,231917",349,"5,08596","468,094556","1,669374","153,540981",,,28,1,2,30,",7","10,5",335,"2,447761","144,985075",",803045","47,513539",,,,,,,,,364,"9,75","433,722527","3,181271","142,341446",,10,,15,1,90,",3312","29,808021",339,"2,0059","180,530973",",664022","59,761949",,203,18,95,"5,315789","212,526316","1,673733","66,91248",48,"6,666667","266,5625","2,140543","85,585259",,159,14,35,"5,314286",156,"1,704003","49,90429",156,"11,615385","353,365385","3,748473","114,099569",,,3,3,21,"631,666667","7,35","221,083333",358,"57,418994","1885,083799","18,518814","609,98057",
1956155,220,117,,,,,,,103,"1,126214","20,970874",",34654","6,494592",,93,25,,,,,,102,"1,656863","79,117647",",498439","23,978748",,3,14,33,"3,393939","156,060606","1,005225","46,759523",170,"6,482353","310,647059","1,96961","94,469453",,26,35,29,"4,206897","237,931034","1,299563","73,546935",130,"7,615385","582,807692","2,285967","175,241236",,10,,5,1,30,",322","9,66",205,"1,960976","175,609756",",606654","54,212166",,,,1,3,120,"1,05",42,219,"6,817352","434,794521","2,060781","132,105957",,2,14,,,,,,204,"2,803922","168,382353",",856995","51,47117",,184,6,11,"5,727273","195,454545","1,66633","57,973906",19,"6,789474","213,157895","2,091577","66,06309",,117,2,,,,,,101,"5,811881","521,287129","1,725241","154,674845",,,6,46,"16,826087","688,586957","5,239796","214,875456",168,"23,577381","1001,755952","7,076512","300,802643",
1956156,145,,,,,,,,145,"1,2",18,",393281","5,899214",,,,27,1,40,",347321","13,89286",118,"2,601695","122,542373",",831999","39,306183",,,,4,"3,5","157,5","1,111574","50,020833",141,"8,198582","411,702128","2,648381","132,967536",,2,4,40,"3,275","199,5","1,105417","67,238889",99,"6,353535","551,515152","2,047394","177,021915",,,,,,,,,145,"2,793103","214,137931",",908811","69,454124",,,,3,6,160,"2,1",56,142,"7,302817","224,964789","2,380003","73,568446",,,,,,,,,145,2,120,",657572","39,454325",,111,3,21,"4,714286","192,380952","1,56358","63,876543",10,7,280,"2,150556","86,022222",,,99,22,"4,5","145,909091","1,463636","47,727273",24,"8,791667","266,25","2,705324","81,784722",,,1,,,,,,144,"59,354167","2040,833333","19,155046","658,827739",
1956157,223,4,,,,,,,219,"1,073059","16,30137",",347397","5,284134",,118,24,19,"1,315789",45,",412616","14,029908",62,"2,854839","107,419355",",879722","33,228692",,50,22,43,"3,511628","158,023256","1,086443","48,88995",108,"5,333333",240,"1,669127","75,110715",,38,43,24,"3,375","220,208333","1,066632","70,316855",118,"6,5","487,161017","1,985257","149,879839",,101,,,,,,,122,"1,811475","157,131148",",560573","47,6924",,,39,76,"2,789474","143,092105",",909135","46,738586",108,"4,453704","238,37963","1,420655","76,196524",,10,33,,,,,,180,"2,938889","176,333333",",943122","56,58734",,148,18,28,"5,178571","179,464286","1,600658","56,408633",29,"7,448276","262,241379","2,373662","83,496511",,75,38,60,"5,033333",151,"1,570239","47,107172",50,"7,28","218,4","2,320129","69,603872",,,,3,"21,666667",620,"7,583333",217,220,"44,654545","1595,75","13,907391","493,915282",
1956158,154,20,,,,,,,134,"2,462687","36,940299",",807448","12,111713",,17,24,9,3,45,",895679","13,435185",104,"5,413462","94,182692","1,777435","30,802528",,13,2,9,"3,666667","148,333333","1,155144","47,055556",130,"8,5","347,423077","2,753375","112,594037",,13,39,45,"5,266667","236,666667","1,606502","72,353086",57,"7,385965","344,385965","2,531333","118,229404",,1,,1,1,30,",259259","7,777778",152,"2,927632","134,901316",",961733","44,1318",,,10,54,"3,814815","148,148148","1,279325","49,727607",90,"5,677778",218,"1,835611","70,813824",,10,24,,,,,,120,2,120,",655572","39,334337",,116,4,17,"4,882353","165,882353","1,608173","54,757167",17,"6,411765","216,470588","2,153377","72,135076",,18,2,3,5,150,"1,516667","45,5",131,"12,969466","391,832061","4,176229","126,124034",,,3,7,"18,428571","601,428571","6,45","210,5",144,"47,0625","1671,5625","15,137858","537,682226",
1956159,554,340,,,,,,,214,"1,406542","40,794393",",461978","13,394031",,,137,150,"2,406667","49,9",",794464","16,579269",267,"4,505618","108,389513","1,421134","34,433928",,8,22,27,"4,592593","153,333333","1,451443","48,614651",497,"9,625755","359,034205","3,12191","116,484057",,100,121,87,"2,689655","224,885057",",867391","72,681885",246,"5,678862","497,03252","1,814175","158,999161",,179,1,51,"1,098039","30,980392",",364142","10,266348",323,"2,012384","109,535604",",661942","35,729234",,19,212,232,"2,073276","128,491379",",686223","42,600876",91,"3,351648","203,296703","1,069705","64,940429",,257,35,,,,,,262,"2,694656","161,679389",",874684","52,481017",,456,58,33,"4,666667","186,363636","1,520375","60,10153",7,"6,857143","261,428571","2,203846","82,846154",,246,70,77,"4,714286","145,714286","1,516798","46,827728",161,"7,360248","355,52795","2,341167","113,536533",,,6,28,"20,821429","625,892857","6,998035","210,398286",520,"47,009615","1447,201923","15,20875","468,090932",
1956160,74,2,,,,,,,72,"1,138889","17,083333",",372905","5,593577",,,3,3,"1,666667",45,",609259","16,333333",68,"3,014706","87,573529",",993285","28,932593",,1,8,9,"5,111111",160,"1,739918","54,37963",56,"9,017857","305,357143","2,9661","100,409376",,1,4,12,"3,75",220,"1,271647","74,095118",57,"8,473684","500,789474","2,802503","165,717992",,,,3,1,30,",339394","10,181818",71,"3,380282","174,295775","1,126848","58,198644",,,,2,"5,5","162,5","2,041667","60,277778",72,"7,916667","272,777778","2,630007","90,872173",,9,29,4,2,105,",7","36,75",32,2,120,",666306","39,978368",,55,6,6,"5,5","191,666667","1,722503","59,193603",7,"8,714286","315,714286","3,004577","109,926774",,35,2,5,4,132,"1,449532","47,685965",32,20,"542,03125","6,687031","180,121355",,,,4,"22,25",635,"7,12963","202,740741",70,"47,257143","1470,857143","15,522266","483,249431",
1956161,111,20,,,,,,,91,"1,428571","40,714286",",466456","13,259846",,6,13,4,"2,5",45,",875","15,75",88,"4,806818","153,75","1,5509","49,672713",,2,5,28,"5,214286","156,428571","1,703304","51,099109",76,"6,960526","208,815789","2,221378","66,641339",,1,7,44,"4,977273","258,409091","1,492405","77,406556",59,"6,305085","320,847458","2,122871","108,189132",,,,1,1,30,",205882","6,176471",110,"2,127273","107,727273",",693591","34,893174",,,2,1,5,165,"1,944444","64,166667",108,"7,703704","311,666667","2,536729","102,438466",,2,5,,,,,,104,2,120,",656657","39,399422",,10,74,10,"5,6",153,"1,930262","52,701307",17,"7,294118","209,117647","2,391147","68,594177",,2,1,13,"5,538462","175,384615","1,60798","50,199241",95,"10,831579","441,157895","3,481609","138,281573",,,2,5,"18,6",582,"6,65","207,9",104,"41,615385","1563,557692","13,155612","492,580499",
1956162,42,23,,,,,,,19,1,"16,578947",",335672","5,587719",,19,7,,,,,,16,"2,3125","106,875",",770827","35,348593",,,2,1,4,150,"1,473684","55,263158",39,"7,282051","264,615385","2,461417","89,682027",,6,5,2,"2,5",210,",875","73,5",29,"4,689655","402,413793","1,641379","140,844828",,,,,,,,,42,"4,404762","127,857143","1,462834","43,779325",,,,,,,,,42,"8,952381","334,642857","3,036122","113,664611",,2,5,,,,,,35,"2,4",144,",811465","48,687923",,36,3,,,,,,3,"9,666667",440,"3,080864","144,925926",,,15,,,,,,27,"11,851852","356,666667","3,988397","120,040794",,,3,5,"22,4",675,"7,076425","213,342754",34,"34,823529","1099,411765","11,867633","374,135191",
1956163,48,2,,1,1,10,",35","3,5",45,"1,377778","20,222222",",468354","6,891972",,,2,,,,,,46,"1,695652","74,673913",",573765","25,315305",,2,7,11,"3,272727","147,272727","1,076236","48,430622",28,"4,964286","223,392857","1,697254","76,376434",,,3,32,"4,71875","223,4375","1,602169","76,007195",13,"6,461538","302,307692","2,24897","105,136772",,3,,2,1,30,",35","10,5",43,"1,604651","89,651163",",541833","30,235809",,,,2,3,165,"1,05","57,75",46,"5,217391","266,847826","1,770796","90,656042",,,2,,,,,,46,"2,73913","164,347826",",933127","55,987637",,24,1,5,5,150,"1,636923","49,107692",18,"6,555556","196,666667","2,202173","66,065182",,14,8,1,7,135,"2,45","47,25",25,"8,36","332,2","2,818639","112,244386",,,,3,"20,666667",620,"6,598148","197,944444",45,"44,377778","1358,666667","15,054938","460,73086",
1956164,496,56,,,,,,,440,"1,088636","16,329545",",377294","5,659414",,86,6,24,1,45,",350768","15,784539",380,"3,331579","127,934211","1,142914","43,996908",,12,14,31,"3,967742","154,83871","1,279655","50,229267",439,"5,892938","244,681093","2,045493","84,965344",,51,72,94,"2,989362","207,12766","1,025804","71,176915",279,"5,455197","395,698925","1,881908","136,627065",,3,,,,,,,493,"1,760649","100,10142",",611621","34,73135",,,,21,"4,714286","152,142857","1,569461","51,355552",475,"6,669474","214,842105","2,310508","74,565295",,72,4,,,,,,420,"2,928571","175,714286","1,015607","60,936399",,401,49,11,"4,545455","194,090909","1,607655","68,584928",35,"13,571429",551,"4,560858","184,124951",,288,16,19,"4,526316","144,473684","1,536596","48,779163",173,"11,491329","406,040462","3,920404","138,577279",,,1,5,"21,2",638,"7,497368","225,510526",490,"53,691837","2126,836735","18,54285","734,622882",
1956165,553,36,,,,,,,517,"1,065764","31,411992",",368771","10,870305",,65,7,8,2,40,",719445","14,388889",473,"1,708245","73,488372",",591997","25,451833",,89,18,81,"3,777778","148,024691","1,254734","49,321203",365,"4,887671","189,287671","1,698764","65,83963",,10,57,113,"3,884956","223,451327","1,342917","77,165043",373,"6,697051","363,86059","2,320655","126,174213",,18,85,1,1,30,",35","10,5",449,"2,465479","126,447661",",854186","43,812356",,,10,25,4,150,"1,419052","53,214448",518,"5,720077","255,057915","1,980392","88,296175",,13,60,4,1,90,",35","31,5",476,"2,390756","164,243697",",828541","56,910209",,419,13,21,"4,761905","142,857143","1,645127","49,353801",100,"6,55","197,8","2,25641","68,147288",,150,14,46,"4,76087","146,73913","1,576989","48,679241",343,"6,22449","191,676385","2,168154","66,76495",,1,3,25,"18,04","611,8","6,223259","211,19",524,"29,937023","967,423664","10,345715","334,340162",
1956166,567,156,,,,,,,411,"1,569343","60,620438",",546551","21,129098",,12,8,1,2,50,",518519","12,962963",546,"3,551282","143,882784","1,228723","49,807834",,23,36,58,"3,5","149,741379","1,168565","49,861968",450,"4,815556","226,733333","1,671325","78,714659",,16,51,126,"3,468254","202,936508","1,204588","70,535051",374,"6,721925","372,5","2,320667","128,747145",,31,6,3,3,30,"1,05","10,5",527,"3,650854","113,092979","1,24735","38,942603",,,53,67,"3,850746","139,776119","1,33284","48,551672",447,"5,738255","217,796421","1,993298","75,720146",,24,60,,,,,,483,"2,045549","122,732919",",711894","42,713632",,432,22,40,"4,85","169,5","1,646605","57,593972",73,"6,287671","198,082192","2,143482","67,104446",,34,15,73,"2,90411",135,",983806","45,664298",445,"4,532584","219,168539","1,560524","75,51416",,,39,68,"19,897059","611,911765","6,790603","208,859563",460,"28,5","862,695652","9,775715","296,570566",
1956167,296,15,,,,,,,281,"1,263345","35,302491",",406126","11,365589",,60,17,,,,,,219,"1,479452","74,931507",",474949","24,141946",,14,49,73,"4,684932","146,849315","1,563766","48,836657",160,"7,43125","274,125","2,38572","87,886036",,90,81,64,"3,46875","236,71875","1,098358","74,921626",61,"5,655738","396,393443","1,911022","133,561167",,15,,1,1,30,",35","10,5",280,"4,317857","220,714286","1,383354","70,766724",,,,3,"4,333333","163,333333","1,516667","57,166667",293,"7,843003","307,901024","2,541637","100,287335",,10,47,34,1,90,",343077","30,876935",205,"2,029268","152,487805",",655159","49,236161",,206,32,43,"5,255814","157,674419","1,657889","49,736666",15,"6,6",202,"2,108642","64,592593",,147,32,11,"4,363636","152,727273","1,437121","49,530303",106,"11,820755","429,339623","3,734529","135,054427",,,3,16,"18,6875","644,0625","5,908543","205,381571",277,"36,891697","1515,451264","11,930686","490,491107",
1956168,213,37,,,,,,,176,"1,539773","26,25",",510283","8,711461",,7,19,13,"2,230769","45,384615",",735083","15,012883",174,"3,856322","106,752874","1,268757","35,335604",,87,12,13,"3,384615","152,307692","1,077696","48,496314",101,"5,683168","258,267327","1,82069","82,585591",,19,57,44,4,"229,090909","1,316086","75,502045",93,"8,419355","473,548387","2,666928","150,207017",,39,4,23,"1,086957","30,869565",",367785","10,424842",147,"2,034014","104,14966",",663758","33,6829",,,17,50,"3,66",147,"1,248868","50,209753",146,"5,678082","244,246575","1,865952","80,399514",,65,114,,,,,,34,"2,117647","126,176471",",681466","40,659184",,97,60,18,"5,833333","222,222222","1,680406","63,505073",38,"9,052632","334,210526","2,904117","106,379526",,86,12,23,"4,956522","148,26087","1,637171","48,962959",92,"12,804348",385,"3,995721","120,090896",,,8,17,"20,117647","603,529412","6,913834","207,415033",188,"44,81383","1348,723404","14,535006","437,167213",
1956169,213,33,,,,,,,180,"1,044444","15,666667",",362473","5,437093",,13,19,33,"1,121212",45,",385095","15,561604",148,"2,918919","75,912162",",999053","26,075701",,4,45,72,"4,819444","144,166667","1,662265","49,722108",92,"6,771739","203,152174","2,3653","70,959006",,51,127,25,"5,48","222,2","1,840583","74,565541",10,"8,4",334,"2,828462","114,812481",,7,,4,1,30,",327315","9,819445",202,"1,564356","66,410891",",536361","22,86016",,,63,107,"5,336449","162,429907","1,88094","57,334656",43,"6,651163","223,488372","2,190122","74,307522",,49,60,101,2,90,",687948","30,957669",3,3,165,"1,088889","59,5",,77,34,27,"4,925926","147,777778","1,65165","49,549491",75,"9,106667","263,2","3,072248","88,375518",,66,7,16,"4,8125","144,375","1,617446","48,61367",124,"10,403226","394,717742","3,4958","133,093405",,,4,5,"24,2",610,"7,641053","191,449003",204,"42,54902","1126,29902","14,639919","387,457323",
1956170,913,7,,,,,,,906,"2,064018","32,825607",",703071","11,17737",,205,51,,,,,,657,"4,015221","82,214612","1,360262","27,863643",,174,32,64,"3,875","152,578125","1,319251","51,963747",643,"5,786936","231,539658","1,971208","78,827065",,3,83,381,"3,498688","209,80315","1,201298","72,047895",446,"6,831839","399,517937","2,328188","136,211229",,12,,,,,,,901,"2,156493","148,218646",",732609","50,40558",,,24,244,"4,77459","136,106557","1,650594","47,057757",645,"6,429457","249,674419","2,184431","84,865609",,65,320,,,,,,528,"2,081439","124,886364",",710833","42,650004",,7,316,331,"4,861027","147,643505","1,637803","49,685577",259,"6,362934","192,972973","2,19159","66,371895",,282,238,57,"4,315789","160,526316","1,308867","47,784483",336,"5,666667","228,065476","1,941785","78,269873",,,2,8,"23,5",645,"8,225","225,75",903,"44,315615","1554,174972","15,059492","527,683072",
1956171,711,9,,,,,,,702,"1,279202","19,423077",",420691","6,384879",,16,230,42,2,45,",680543","15,312208",423,"3,252955","112,588652","1,037755","36,115629",,14,21,52,"4,288462","151,730769","1,39359","49,099359",624,"11,352564","402,051282","3,715138","131,599608",,157,157,61,"4,377049","218,852459","1,4187","71,354536",336,"8,97619","493,60119","2,927654","160,857211",,81,1,2,1,35,",30463","10,662037",627,"1,660287","86,38756",",549473","28,729452",,,7,78,"6,333333","149,166667","2,168324","50,936673",626,"9,629393","246,453674","3,165073","81,018268",,7,2,9,"1,111111",90,",370771","30,776803",693,"4,225108","248,095238","1,400726","82,267146",,568,40,48,"5,333333","220,833333","1,632253","67,688272",55,"6,290909",264,"2,12569","89,354882",,141,221,52,"4,134615","152,115385","1,338177","48,892806",297,"7,784512","383,720539","2,543093","125,224546",,,3,29,"22,068966","621,551724","7,207206","202,504495",679,"42,945508","1289,734904","14,05895","422,020124",
1956172,1541,45,,,,,,,1496,"2,67246","82,583556",",837276","25,927981",,96,28,610,"1,022951",45,",336567","14,840346",807,"3,672862","107,980173","1,119798","33,05693",,147,301,342,"4,149123","157,54386","1,306352","49,401168",751,"7,600533","307,010652","2,36335","95,441168",,222,404,313,"4,58147","229,249201","1,444771","72,335495",602,"9,202658","477,998339","2,793256","145,48026",,71,4,4,1,30,",35","10,5",1462,"2,075923","122,435021",",654606","38,700377",,,1,92,"2,271739","126,847826",",737322","41,167526",1448,"4,483425","250,010359","1,424754","79,571279",,37,99,,,,,,1405,"3,396441","203,786477","1,079547","64,77279",,1264,91,74,"5,702703","245,878378","1,648089","71,029222",112,"7,053571","282,857143","2,313922","93,5563",,194,582,155,"4,580645","165,774194","1,432905","50,969682",610,"10,106557","361,155738","3,113979","111,171869",,,9,47,"21,106383","671,914894","6,680615","213,17041",1485,"37,80404","1246,047138","11,804687","388,965875",
1956173,384,,,,,,,,384,"2,289063","38,763021",",767764","12,982662",,66,48,45,"1,511111","45,777778",",506986","15,508009",225,"3,471111","135,222222","1,132535","44,084291",,6,10,107,"5,186916","155,607477","1,691957","50,758711",261,"7,444444","223,333333","2,499097","74,972908",,5,63,45,"5,333333","233,777778","1,703835","74,63767",271,"7,664207","361,291513","2,519629","119,150441",,1,,8,2,30,",7","10,5",375,"3,162667","117,853333","1,055064","39,339343",,,48,70,"5,571429","146,142857","1,871219","49,314388",266,"7,206767","239,135338","2,392738","79,749923",,23,35,17,2,"99,705882",",672549","33,421569",309,"3,407767","175,987055","1,138148","58,839539",,276,14,40,"5,225","178,25","1,706524","57,985826",54,"7,055556","221,296296","2,277192","71,999446",,141,43,22,"3,409091","126,818182","1,193182","44,386364",178,"9,382022","408,426966","3,04976","132,455692",,,1,7,"18,285714","548,571429","6,4",192,376,"57,005319","2206,728723","18,933478","735,006466",
1956174,264,49,,,,,,,215,"1,111628","17,581395",",373308","5,910738",,45,21,5,2,45,",663704","14,933333",193,"3,093264","151,865285","1,020862","50,249844",,1,9,5,"2,8",132,",98","46,2",249,"7,791165","292,610442","2,577711","97,027316",,18,29,45,"2,533333","222,666667",",777312","68,326781",172,"4,651163","390,436047","1,557837","131,034879",,1,,,,,,,263,"5,608365","129,391635","1,884632","43,433481",,,1,,,,,,263,"9,828897","354,942966","3,257519","118,210122",,2,4,,,,,,258,"2,821705","169,263566",",943618","56,60354",,217,5,11,5,"166,363636","1,634512","54,762626",31,"7,935484","291,774194","2,598511","95,612145",,3,93,14,5,150,"1,693519","50,805556",154,"12,25974","368,376623","4,007199","120,385153",,,7,25,"20,04","610,8","6,745407","205,613333",232,"34,258621","1080,689655","11,254936","354,945318",
1956175,353,13,,,,,,,340,"1,052941","16,014706",",326639","4,976795",,,,3,3,45,"1,05","15,75",350,"5,717143","168,285714","1,753964","51,619248",,11,65,61,"4,311475","171,147541","1,251626","49,581578",216,"6,666667","286,875","2,049782","87,977928",,17,90,90,"3,888889","233,666667","1,193457","71,839173",156,"7,673077","466,634615","2,251669","137,10312",,1,,,,,,,352,"22,076705","442,542614","6,617297","132,974142",,,1,14,"4,214286","148,571429","1,42963","50,444444",338,"7,053254","309,955621","2,154904","94,956557",,31,154,,,,,,168,"2,047619","122,857143",",599987","35,999185",,159,42,63,"5,285714","160,714286","1,628111","49,41286",89,"8,573034","283,146067","2,438306","80,843879",,1,8,,,,,,344,"15,575581","744,142442","4,66643","222,859591",,,1,4,"22,75",595,"7,9625","208,25",348,"58,793103","1364,224138","17,693722","411,372979",
1956176,217,50,,,,,,,167,"1,017964",60,",336348","19,847143",,23,6,,,,,,188,"2,297872","103,962766",",751576","34,247667",,12,67,25,"3,12","160,4","1,004889","51,53037",113,"5,238938","271,106195","1,698732","87,483831",,15,24,13,"4,538462","247,307692","1,376912","75,538867",165,"12,812121","721,787879","4,163296","234,813414",,83,,16,1,30,",32294","9,688195",118,"1,813559","121,779661",",594184","39,914298",,,25,49,"3,22449","143,673469","1,055857","46,977103",143,"5,356643","259,93007","1,786668","86,603598",,11,15,1,1,90,",35","31,5",190,"3,810526","247,736842","1,254446","81,611796",,124,30,27,"6,148148","186,666667","1,919423","58,147303",36,"8,055556","257,083333","2,595113","82,37963",,130,9,4,"4,25",135,"1,4875","47,25",74,"12,148649","378,851351","4,037396","125,533659",,,6,13,"20,538462","627,692308","6,818519","208,175214",198,"43,393939","1454,924242","14,104611","472,508093",
1956177,454,44,,,,,,,410,"1,129268","22,04878",",351119","6,865554",,162,2,37,1,45,",324635","14,608559",253,"1,992095","108,675889",",619243","33,774217",,152,28,29,"2,448276","140,689655",",778273","44,523961",245,"4,959184","297,306122","1,503118","90,123576",,3,136,53,"4,113208","243,396226","1,283352","75,065052",262,"8,049618","594,541985","2,424769","178,708693",,79,,6,1,30,",321415","9,64245",369,"2,560976","162,493225",",791592","50,479931",,,101,86,"4,55814","142,674419","1,449709","45,57975",267,"7,640449","385,299625","2,324134","117,168137",,52,93,33,2,90,",676083","30,423711",276,"2,826087","156,086957",",878856","48,49287",,242,134,16,"5,5",165,"1,701445","51,043339",62,"8,177419","252,903226","2,470644","76,378693",,193,90,103,"5,291262","159,320388","1,618265","48,751832",68,"7,602941","237,794118","2,344616","73,529644",,,17,38,"21,342105","678,552632","6,303872","200,293208",399,"43,070175","1416,879699","13,300596","437,471283",
