PDS,ANZ_S,RTS_E55010.0,RTS_E55010.1,RTS_E55010.3,RTS_E55010.3.MW_A_PR,RTS_E55010.3.MW_M_PR,RTS_E55010.3.MW_A_PW,RTS_E55010.3.MW_M_PW,RTS_E55010.4,RTS_E55010.4.MW_A_PR,RTS_E55010.4.MW_M_PR,RTS_E55010.4.MW_A_PW,RTS_E55010.4.MW_M_PW,RTS_E55010.9,RTS_E55020.0,RTS_E55020.1,RTS_E55020.3,RTS_E55020.3.MW_A_PR,RTS_E55020.3.MW_M_PR,RTS_E55020.3.MW_A_PW,RTS_E55020.3.MW_M_PW,RTS_E55020.4,RTS_E55020.4.MW_A_PR,RTS_E55020.4.MW_M_PR,RTS_E55020.4.MW_A_PW,RTS_E55020.4.MW_M_PW,RTS_E55020.9,RTS_E55030.0,RTS_E55030.1,RTS_E55030.3,RTS_E55030.3.MW_A_PR,RTS_E55030.3.MW_M_PR,RTS_E55030.3.MW_A_PW,RTS_E55030.3.MW_M_PW,RTS_E55030.4,RTS_E55030.4.MW_A_PR,RTS_E55030.4.MW_M_PR,RTS_E55030.4.MW_A_PW,RTS_E55030.4.MW_M_PW,RTS_E55030.9,RTS_E55040.0,RTS_E55040.1,RTS_E55040.3,RTS_E55040.3.MW_A_PR,RTS_E55040.3.MW_M_PR,RTS_E55040.3.MW_A_PW,RTS_E55040.3.MW_M_PW,RTS_E55040.4,RTS_E55040.4.MW_A_PR,RTS_E55040.4.MW_M_PR,RTS_E55040.4.MW_A_PW,RTS_E55040.4.MW_M_PW,RTS_E55040.9,RTS_E55050.0,RTS_E55050.1,RTS_E55050.3,RTS_E55050.3.MW_A_PR,RTS_E55050.3.MW_M_PR,RTS_E55050.3.MW_A_PW,RTS_E55050.3.MW_M_PW,RTS_E55050.4,RTS_E55050.4.MW_A_PR,RTS_E55050.4.MW_M_PR,RTS_E55050.4.MW_A_PW,RTS_E55050.4.MW_M_PW,RTS_E55050.9,RTS_E55060.0,RTS_E55060.1,RTS_E55060.3,RTS_E55060.3.MW_A_PR,RTS_E55060.3.MW_M_PR,RTS_E55060.3.MW_A_PW,RTS_E55060.3.MW_M_PW,RTS_E55060.4,RTS_E55060.4.MW_A_PR,RTS_E55060.4.MW_M_PR,RTS_E55060.4.MW_A_PW,RTS_E55060.4.MW_M_PW,RTS_E55060.9,RTS_E55070.0,RTS_E55070.1,RTS_E55070.3,RTS_E55070.3.MW_A_PR,RTS_E55070.3.MW_M_PR,RTS_E55070.3.MW_A_PW,RTS_E55070.3.MW_M_PW,RTS_E55070.4,RTS_E55070.4.MW_A_PR,RTS_E55070.4.MW_M_PR,RTS_E55070.4.MW_A_PW,RTS_E55070.4.MW_M_PW,RTS_E55070.9,RTS_E55080.0,RTS_E55080.1,RTS_E55080.3,RTS_E55080.3.MW_A_PR,RTS_E55080.3.MW_M_PR,RTS_E55080.3.MW_A_PW,RTS_E55080.3.MW_M_PW,RTS_E55080.4,RTS_E55080.4.MW_A_PR,RTS_E55080.4.MW_M_PR,RTS_E55080.4.MW_A_PW,RTS_E55080.4.MW_M_PW,RTS_E55080.9,RTS_E55090.0,RTS_E55090.1,RTS_E55090.3,RTS_E55090.3.MW_A_PR,RTS_E55090.3.MW_M_PR,RTS_E55090.3.MW_A_PW,RTS_E55090.3.MW_M_PW,RTS_E55090.4,RTS_E55090.4.MW_A_PR,RTS_E55090.4.MW_M_PR,RTS_E55090.4.MW_A_PW,RTS_E55090.4.MW_M_PW,RTS_E55090.9
7821181,209,,,3,"17,333333","581,666667","6,066667","203,583333",206,"33,533981","1247,718447","10,570878","393,475956",,14,76,54,"3,759259","220,185185","1,194096","69,917371",65,"6,846154","451,769231","2,217523","145,52525",,12,6,89,"4,955056","159,101124","1,573598","50,452362",102,"6,490196","217,058824","2,051227","68,795908",,,1,23,"5,826087","148,695652","1,877375","48,256039",185,"7,589189","265,918919","2,429773","85,514616",,163,7,,,,,,39,"2,076923","124,615385",",665765","39,945869",,92,,45,1,30,",327608","9,828253",72,"15,027778","235,277778","4,761333","74,915776",,26,25,9,1,45,",341964","15,388402",149,"2,644295","107,214765",",842992","34,224096",,33,,,,,,,176,1,45,",322535","14,514079",,112,24,23,"5,304348","164,565217","1,627697","50,496377",50,"9,4",284,"2,970981","89,727975",
7821182,1194,,1,2,21,600,"7,35",210,1191,"56,965575","1879,785894","18,434916","608,007385",,61,1012,110,"4,463636","232,363636","1,423474","74,441126",11,"6,545455","354,545455","2,310732","125,562055",,48,24,165,"2,381818","140,363636",",750038","44,111377",957,"5,705329","280,626959","1,788114","89,236662",,,1073,115,"5,669565","133,304348","1,614256","38,805603",6,10,"204,166667","2,62252","55,865486",,865,308,,,,,,21,2,120,",619939","37,196363",,22,,6,1,30,",334877","10,046296",1166,"5,505146","349,271012","1,804273","114,624367",,128,55,113,1,45,",342197","15,398875",898,"2,047884","88,195991",",673053","28,996265",,1194,,,,,,,,,,,,,890,232,25,"4,8","150,6","1,483539","46,188138",47,"6,765957","258,829787","2,195102","84,180111",
7821183,2034,1,74,93,"20,193548","626,774194","6,500668","201,928978",1866,"39,859593","1251,548767","13,411751","421,327092",,1245,531,142,"4,288732","213,908451","1,453066","72,430482",116,"6,87931","360,474138","2,284005","119,788318",,255,189,649,"4,57473","144,938367","1,562271","49,231685",941,"5,663124","234,1339","1,95089","80,512284",,3,1808,196,"4,066327","130,408163","1,332062","42,789301",27,"6,777778","218,333333","2,321748","74,801619",,548,1467,,,,,,19,"2,105263","126,315789",",711096","42,665743",,317,2,2,1,30,",380883","11,426471",1713,"5,52014","325,189726","1,868977","110,656504",,431,37,469,2,45,",683299","15,374225",1097,"2,463993","72,748405",",823631","24,377515",,857,1,,,,,,1176,"1,244048","29,893707",",423657","10,194034",,1751,34,55,"3,127273","135,545455","1,049916","45,65403",194,"7,902062","339,123711","2,547987","109,60801",
7821184,25,,,5,"25,4",710,"7,409325","206,300218",20,"33,4","1244,5","11,552379","430,115063",,5,3,2,"2,5",195,",875","68,25",15,"7,2",536,"2,380551","176,749446",,3,2,1,3,150,"1,05","52,5",19,"5,210526","253,421053","1,727333","84,003371",,,1,7,"4,857143","152,142857","1,630769","51,634615",17,7,"252,647059","2,333064","84,295211",,25,,,,,,,,,,,,,12,,2,1,30,",35","10,5",11,"1,545455","84,545455",",543291","29,627751",,4,3,1,2,45,",7","15,75",17,"3,470588","128,823529","1,161361","43,20804",,,,,,,,,25,"1,92","30,6",",648269","10,354028",,8,7,4,"4,25","127,5","1,4875","44,625",6,"7,833333",235,"2,325962","69,778867",
7821185,102,,2,9,"20,555556","616,666667","6,63028","198,908393",91,"46,032967","1379,010989","14,701212","440,422873",,63,36,2,"4,5",240,"1,381227","73,419541",1,5,270,"1,75","94,5",,8,10,37,"3,837838","153,513514","1,227194","49,087772",47,"5,93617","239,574468","1,907963","77,063189",,,6,40,"6,5","156,625","2,227806","53,778333",56,"8,821429","229,285714","2,725081","71,722334",,30,72,,,,,,,,,,,,,18,,,,,,84,"4,571429","187,857143","1,471933","60,19949",,1,,,,,,,101,"2,940594","94,455446",",94452","30,266691",,,,,,,,,102,"3,598039","55,04902","1,176119","17,970137",,,75,12,"4,833333","147,5","1,629552","49,202546",15,"7,2",263,"2,278281","82,978734",
7821186,38,,,,,,,,38,49,"1938,552632","12,363228","492,75423",,35,3,,,,,,,,,,,,31,3,1,4,240,",965517","57,931034",3,"6,666667",350,"1,538272","80,597222",,2,27,3,2,120,",579013","34,740741",6,"3,333333",200,",832656","49,959328",,38,,,,,,,,,,,,,1,,,,,,,37,"1,648649","102,837838",",45298","28,157634",,,1,,,,,,37,"4,783784","164,594595","1,242332","43,280675",,8,,,,,,,30,"3,1",75,",774745","19,398462",,,1,,,,,,37,"15,513514","604,459459","3,914737","151,926628",
7821187,1532,,66,136,"19,838235","614,779412","6,595641","204,320201",1330,"41,564662","1776,56391","13,471613","572,538883",,833,470,126,"3,325397","229,603175","1,051515","72,826302",103,"5,883495","428,203883","1,862764","135,533867",,331,435,428,"4,443925","142,570093","1,473327","47,239484",338,"5,745562","237,248521","1,930423","79,570756",,,591,691,"3,723589","142,966715","1,23757","47,718317",250,"6,372","210,34","2,019975","67,753311",,975,508,31,2,"90,483871",",626306","28,353099",18,"2,111111","121,666667",",690299","39,819172",,496,46,97,"1,185567","31,134021",",389569","10,244733",893,"5,295633","183,264278","1,723562","59,747183",,485,194,114,"2,947368",45,",964271","14,709475",739,"3,871448","92,496617","1,264768","30,458304",,30,,,,,,,1502,"2,143808","32,170439",",70802","10,623745",,876,90,124,"4,927419","156,895161","1,570887","49,997904",442,"11,572398","358,563348","3,684354","114,099503",
7821188,1216,,75,201,"26,20398","684,079602","8,006004","209,273525",940,"42,640426","1285,244681","13,295729","401,562311",,773,431,11,"6,363636",260,"1,823064","72,645623",1,7,360,"1,814815","93,333333",,265,195,370,"5,137838","156,405405","1,59709","48,530292",386,"7,639896","290,906736","2,388324","91,274405",,12,132,1006,"3,006958","135,223658",",946382","42,558568",66,"4,378788","256,818182","1,335655","78,126488",,1216,,,,,,,,,,,,,677,170,143,"1,636364",30,",518932","9,521783",226,"2,920354","57,477876",",862721","17,200339",,612,52,110,"1,054545","46,454545",",322483","14,26282",442,"1,524887","87,556561",",459013","26,523397",,221,,,,,,,995,"1,077387","17,351759",",338859","5,431093",,747,188,82,"4,646341","151,95122","1,450965","47,538086",199,"11,331658","376,78392","3,428358","114,036826",
7821189,931,,18,54,"19,962963","600,740741","6,675714","200,919558",859,"40,5844","1263,271246","13,37152","415,908316",,13,572,230,"3,843478","202,956522","1,331204","70,19586",116,"5,543103","349,655172","1,785414","111,925626",,389,139,135,"4,651852","139,555556","1,545144","46,354317",268,"8,854478","266,08209","2,91482","87,601318",,1,11,78,3,"144,423077","1,035883","49,886731",841,"5,160523","271,801427","1,732107","91,169999",,850,81,,,,,,,,,,,,1,4,11,"1,909091","39,090909",",668182","13,681818",915,"3,156284","137,57377","1,061104","46,271625",,9,42,9,"2,777778","47,222222",",941975","16,074074",871,"2,769231","92,588978",",92988","31,070491",,438,,,,,,,493,1,60,",330585","19,835112",,264,425,35,"3,028571","134,571429","1,033259","45,806667",207,"5,371981","284,565217","1,759187","93,43522",
7821190,32,,9,9,"17,666667","693,333333","4,962047","192,960997",14,"33,571429","1337,142857","7,847548","323,344073",,,17,9,"4,777778",265,"1,367211","76,325163",6,"12,166667","560,833333","3,076947","144,138347",,13,6,4,"2,75",165,",806522","48,391305",9,"4,333333",260,"1,198778","71,926652",,1,15,7,"5,571429","151,428571","1,44902","42,517157",9,7,"207,777778","1,797223","54,752554",,32,,,,,,,,,,,,,,5,5,2,40,",584706","11,694118",22,"4,545455","111,363636","1,227777","29,596795",,1,1,3,1,45,",35","15,75",27,5,"176,666667","1,343613","47,824687",,1,,,,,,,31,"1,322581","25,645161",",365595","6,802486",,6,25,,,,,,1,21,730,"3,868421","134,473684",
7821191,204,,,1,19,690,"6,333333",230,203,"47,901478","1930,591133","14,304851","576,647561",,15,46,47,"3,382979","232,978723","1,039206","71,607856",96,"8,479167","609,479167","2,421466","174,968595",,24,16,10,"2,8","163,5",",771187","45,104575",154,"5,402597","324,155844","1,645669","98,740114",,,22,9,"3,555556",155,"1,119898","48,583152",173,"5,236994","324,277457","1,597955","98,825366",,103,1,99,1,90,",299354","26,941891",1,2,180,",518519","46,666667",,2,1,1,2,40,",518519","10,37037",200,"5,075","209,525","1,505453","62,835914",,1,2,,,,,,201,"1,930348",80,",58613","24,454928",,1,,,,,,,203,"1,349754","25,788177",",415387","7,940644",,91,20,27,"3,666667","162,962963","1,126617","48,270814",66,"7,712121","342,954545","2,302013","102,418391",
7821192,858,,,,,,,,858,"75,726107","2633,881119","23,704274","822,707154",,608,201,29,"2,551724","215,172414",",827863","69,526471",20,"4,95","403,5","1,655871","133,660703",,310,189,78,"3,923077","154,615385","1,25497","49,728333",281,"7,209964","252,704626","2,283724","80,264795",,,1,5,"5,2",156,"1,769513","52,485673",852,"6,949531","242,511737","2,201463","77,319539",,260,,12,1,"90,833333",",306972","27,79902",586,"1,064846","127,78157",",339734","40,768123",,2,511,,,,,,345,"2,77971","143,73913",",875313","44,821702",,16,1,28,1,45,",341612","15,372549",813,"3,463715","184,440344","1,105459","58,896239",,21,,,,,,,837,"1,017921","15,770609",",325954","5,042199",,528,24,55,"5,945455","170,727273","1,893144","54,305022",251,"11,270916","327,908367","3,446062","100,130572",
7821193,134,,1,,,,,,133,"70,87218","2098,646617","19,886441","590,966111",,21,107,6,"3,166667",190,"1,098232","65,893939",,,,,,,,19,36,"3,305556","193,333333",",851185","49,66833",79,"5,265823","312,911392","1,554405","92,357552",,,10,74,"5,337838","147,972973","1,706549","47,814694",50,"7,86","199,5","1,947663","49,935262",,55,79,,,,,,,,,,,,16,84,3,1,30,",277001","8,310023",31,"2,354839","55,967742",",62144","14,615949",,,9,1,1,45,",233333","10,5",124,"2,709677","95,564516",",791519","27,977862",,7,,,,,,,127,"1,84252","45,511811",",536731","13,239387",,131,1,,,,,,2,"14,5","547,5","2,418075","90,899493",
7821194,396,,,3,"22,333333",670,"6,823118","204,693548",393,"51,493639","1805,776081","16,264443","569,420933",,29,54,133,"4,075188","244,43609","1,276912","76,588424",180,"6,833333","429,666667","2,152171","134,942825",,24,6,20,"2,55",153,",761216","45,672937",346,"4,50578","270,115607","1,441331","86,398919",,,7,80,"6,3125","149,6875","2,104631","50,214634",309,"7,938511","213,68932","2,505744","67,894513",,27,55,,,,,,314,"2,595541","155,732484",",832489","49,949325",,1,,,,,,,395,"18,167089","641,620253","5,754592","203,471168",,63,18,1,1,50,",35","17,5",314,"1,646497","79,299363",",524512","25,343323",,,,,,,,,396,"2,166667","79,734848",",693797","25,566457",,169,68,43,"3,651163","165,813953","1,110656","50,152181",116,"5,672414","305,301724","1,802239","96,741777",
7821195,36,,3,9,"17,888889","601,111111","6,069547","203,986626",24,"34,041667",1225,"10,480546","377,27794",,24,9,3,5,"233,333333","1,496199","72,487979",,,,,,,12,15,8,"4,375",135,"1,463195","45,208333",1,11,330,"2,264706","67,941176",,4,12,11,"4,090909","134,090909","1,370973","44,933723",9,6,200,"1,852687","61,806645",,36,,,,,,,,,,,,,24,6,,,,,,6,"3,5","135,833333","1,016068","39,307644",,20,8,4,"2,5",45,",875","15,75",4,"3,75","68,75","1,106808","20,65305",,3,,,,,,,33,"1,333333","21,363636",",432973","6,981682",,25,4,4,"4,25","137,5","1,414583","45,9375",3,6,210,"1,888726","66,105426",
7821196,2092,,28,77,"21,688312","650,649351","6,844338","205,330148",1987,"44,939607","1383,256165","14,311524","440,474702",,1273,677,100,"3,54","212,4","1,13555","68,151165",42,"6,142857","391,666667","1,97702","125,315987",,416,283,463,"3,483801","153,790497","1,067734","47,050968",930,"5,912903","239,715054","1,905889","77,199981",,348,1288,428,"3,953271","130,36215","1,254899","41,451379",28,"5,714286","205,357143","1,82295","65,607182",,687,656,90,"1,977778","104,666667",",629212","33,351035",659,"2,446131","146,745068",",773883","46,465053",,673,1,578,1,30,",325598","9,767951",840,"2,914286","107,267857",",911474","33,521322",,934,90,39,"2,948718",45,",941624","14,39359",1029,"5,883382","109,737609","1,86156","34,973657",,693,,,,,,,1399,"1,610436","40,03574",",521452","13,02883",,1348,169,105,"4,628571","152,285714","1,452845","47,851534",470,"13,529787","447,095745","4,249506","140,383687",
7821197,160,,18,56,"14,410714","688,75","4,215187","202,390783",86,"21,337209","1008,023256","6,622907","312,352522",,55,75,29,"4,034483","236,37931","1,123789","65,841417",1,6,360,"1,555556","93,333333",,15,31,48,"2,520833","151,25",",741712","44,502715",66,"3,348485","200,909091","1,063101","63,786033",,4,139,7,"2,857143","145,714286",",902222","45,911111",10,"3,4",204,"1,153704","69,222222",,149,,11,1,90,",35","31,5",,,,,,,25,,1,1,40,",35",14,134,"1,11194","65,447761",",348319","20,495551",,2,5,,,,,,153,"2,464052","83,039216",",759386","25,873505",,75,,,,,,,85,"2,188235","33,882353",",670855","10,280821",,118,27,3,8,175,"2,376543","49,907408",12,"16,666667","381,25","4,59232","104,480528",
7821198,32,,,,,,,,32,"30,875","1224,375","10,516779","416,497442",,15,17,,,,,,,,,,,,,,1,5,150,"1,75","52,5",31,"7,806452","234,193548","2,645677","79,370307",,,,2,3,135,"1,05","47,25",30,"6,266667",229,"2,12986","77,811209",,32,,,,,,,,,,,,,,1,,,,,,31,"2,483871","85,967742",",838939","29,050462",,,4,2,3,50,",913889","15,231482",26,"5,423077","83,653846","1,866719","28,791029",,,,,,,,,32,"1,09375","17,8125",",374881","6,115406",,1,,1,3,120,"1,05",42,30,"4,666667",259,"1,606157","89,000975",
7821199,1435,,258,438,"21,173516","625,125571","6,950944","205,270179",739,"29,963464","1109,282815","9,783115","362,523698",,798,625,11,"5,272727","203,636364","1,754209","68,343434",1,6,260,"2,1",91,,810,60,257,"4,058366","170,700389","1,252188","52,685798",308,"5,188312","217,467532","1,788925","75,006986",,503,886,42,"3,047619","132,5",",987033","42,917525",4,4,180,"1,218519","54,833334",,1435,,,,,,,,,,,,,733,7,515,"1,040777","30,407767",",344708","10,068314",180,"2,027778",85,",665923","27,994942",,330,667,,,,,,438,"1,97032","79,109589",",644386","26,057596",,1358,,,,,,,77,"1,428571","43,636364",",430666","13,192714",,1274,78,41,"4,902439","147,073171","1,567523","47,025686",42,"11,02381","330,714286","3,455262","103,657862",
7821200,1182,,15,106,"21,54717","649,95283","6,990415","210,927087",1061,"35,546654","1194,853911","11,41126","383,604899",,,760,177,"4,344633","220,451977","1,41702","71,674151",245,"7,428571","447,204082","2,389626","143,551756",,190,456,171,"3,614035","159,912281","1,121943","49,596851",365,"6,613699","288,575342","2,16664","94,562295",,,242,454,"4,27533","145,34141","1,405331","47,961522",486,"5,82716","235,37037","1,859065","75,546618",,1171,11,,,,,,,,,,,,279,61,15,2,39,",661482","12,890741",827,"2,307134","94,764208",",73195","30,531591",,351,448,104,"2,788462",45,",895597","14,455995",279,"2,935484","88,978495",",933706","28,425005",,9,,,,,,,1173,"2,113384","60,626598",",686966","19,666009",,788,141,104,"4,682692","148,461538","1,502151","47,561574",149,"8,389262","300,704698","2,598965","92,987457",
7821201,192,,2,5,"21,4",642,"7,49","224,7",185,"51,718919","1850,702703","16,915587","605,365556",,91,57,19,"3,578947","228,157895","1,18577","75,48538",25,"4,44","400,8","1,478142","132,183237",,27,10,40,"2,45",147,",742973","44,578359",115,"3,156522","189,391304","1,078403","64,704205",,,132,39,"5,871795","138,076923","1,887308","44,640456",21,"6,714286","203,571429","2,17284","66,259259",,102,90,,,,,,,,,,,,2,,2,1,30,",35","10,5",188,"3,414894","160,531915","1,137987","53,81252",,,81,2,3,45,"1,05","15,75",109,"4,93578","137,06422","1,614911","44,816857",,1,,,,,,,191,"1,162304","19,554974",",38788","6,505021",,85,8,8,"4,75","142,5","1,594445","47,833333",91,"12,967033","393,626374","4,315568","130,902952",
7821202,900,,109,183,"21,005464","621,584699","6,919439","204,607698",608,"32,407895","986,398026","10,896298","331,680209",,451,335,67,"4,029851","206,865672","1,354693","69,339099",47,"8,021277","426,170213","2,665932","141,569909",,111,189,182,"4,950549","148,516484","1,652476","49,574284",418,"7,169856","215,095694","2,415047","72,451405",,12,860,28,"4,678571","135,178571","1,500473","43,931769",,,,,,,562,135,113,2,90,",673055","30,287455",90,"3,811111","171,333333","1,278763","57,485983",,338,3,86,"1,05814","30,581395",",358701","10,354066",473,"8,566596","177,906977","2,803488","58,517326",,2,91,18,"2,111111",45,",703255","14,948232",789,"4,329531","138,555133","1,44574","46,323656",,104,,,,,,,796,"1,028894","22,726131",",345912","7,615163",,533,164,98,"3,918367","135,612245","1,292614","44,630172",105,"6,933333","261,142857","2,324656","87,360567",
7821203,3225,,106,195,"20,769231","636,153846","6,788489","208,01574",2924,"40,761286","1306,316689","13,644327","437,642845",,1397,1786,42,"3,97619","196,785714","1,368707","67,979002",,,,,,,164,180,1142,"3,338004","150,210158","1,051145","47,301515",1739,"4,002875","180,129385","1,403142","63,141402",,,507,2650,"5,58566","129,898113","1,866628","43,508142",68,"9,220588","196,397059","2,702978","57,958799",,586,2402,4,1,90,",35","31,5",233,"2,665236","180,257511",",856411","57,898743",,1963,7,195,1,30,",341332","10,239966",1060,"1,371698","57,212264",",455587","19,016257",,1508,612,774,1,45,",334163","15,037354",331,"2,21148","92,809668",",714842","29,935653",,36,,,,,,,3189,1,15,",337482","5,062232",,242,295,43,"5,651163","164,186047","1,799436","52,305026",2645,"8,11758","234,381853","2,706622","78,117097",
7821204,115,,,1,45,1380,7,"214,666667",114,"56,710526","1710,526316","16,909659","509,319637",,19,84,6,"4,166667",250,"1,161438","69,686275",6,"7,333333",440,"2,040021","122,401254",,,4,7,"5,571429","175,714286","1,42931","45,413793",104,"12,913462","415,384615","3,889788","125,168798",,,3,49,"4,836735","147,55102","1,474519","45,380469",63,"6,460317","226,190476","1,886579","67,098532",,14,73,28,2,105,",649733","34,11098",,,,,,,1,,,,,,,114,"1,964912","102,5",",590234","30,658231",,14,30,,,,,,71,"1,943662","86,619718",",584214","26,13432",,8,,,,,,,107,"1,803738","40,233645",",542293","12,060994",,64,13,16,"5,0625","164,0625","1,449528","47,519998",22,"13,545455","408,409091","3,552314","108,484166",
7821205,129,,,,,,,,129,"57,937984","2434,302326","19,38647","814,99595",,5,101,20,"4,3","211,5","1,501244","74,232162",3,"7,666667",375,"2,411111","118,546296",,43,10,22,"2,181818","130,909091",",729386","43,763135",54,"3,592593","215,555556","1,234246","74,054772",,,9,76,"5,118421","151,710526","1,743144","51,786336",44,"6,590909","205,227273","2,185143","68,338384",,86,3,2,3,90,",913889","27,416667",38,"4,052632","157,894737","1,406943","54,49441",,47,,8,1,30,",297338","8,920139",74,"1,108108","48,648649",",37895","16,636327",,1,,,,,,,128,"5,460938","192,890625","1,846582","65,242026",,7,,,,,,,122,"2,032787","45,737705",",688581","15,493079",,1,42,73,"4,054795","116,575342","1,426135","40,992054",13,"8,692308","283,846154","2,929867","94,771149",
7821206,197,,,6,"29,5",765,"8,283334","215,42284",191,"49,089005","1384,554974","15,414854","434,78768",,1,15,60,"4,983333","267,5","1,403037","75,553874",121,"6,066116","325,53719","2,033936","109,029395",,1,8,72,"5,208333","156,25","1,665092","49,952767",116,"8,853448","265,603448","2,760179","82,805377",,,,9,"3,777778",150,"1,291975","51,290123",188,"5,569149","254,361702","1,782583","81,417715",,46,148,,,,,,3,2,120,",681846","40,910755",,1,14,1,2,30,",608696","9,130435",181,"2,701657","90,055249",",862506","28,797461",,,2,10,3,45,",975278","14,629167",185,"4,945946","120,27027","1,584496","38,643809",,,,,,,,,197,"1,279188","19,187817",",409682","6,145232",,82,10,29,"5,241379","157,241379","1,671949","50,158477",76,"10,407895","312,236842","3,159604","94,788107",
7821207,50,,,,,,,,50,"40,66","1714,8","8,95256","379,918069",,7,28,11,"5,363636","318,636364","1,208694","71,944839",4,"5,75",435,"1,419445","107,138889",,9,7,20,"5,4",243,"1,20352","54,158415",14,"7,714286","347,142857","1,634187","73,538396",,,44,5,"3,6",135,",678113","25,587938",1,5,270,"1,296296",70,,50,,,,,,,,,,,,,3,,,,,,,47,"2,425532","144,893617",",538991","32,382208",,19,9,1,2,45,",341463","7,682927",21,"3,142857",115,",674717","24,667478",,47,,,,,,,3,1,30,",170732","5,121951",,,11,16,"7,9375","254,0625","1,657938","53,140003",23,"9,695652","311,73913","2,267002","72,85092",
7821208,49,,1,,,,,,48,"100,083333","2507,8125","30,942007","774,15099",,5,39,3,"4,333333",220,"1,365432","69,740741",2,6,310,"2,254412","116,529412",,6,39,4,4,120,"1,438889","43,166667",,,,,,,,5,12,"4,916667","153,333333","1,658013","51,918744",32,"6,5625","223,4375","2,01857","69,216008",,27,22,,,,,,,,,,,,10,,5,1,30,",366037","10,981115",34,"2,205882","118,676471",",68266","37,169314",,,4,,,,,,45,"4,044444","130,555556","1,292962","41,656423",,8,,,,,,,41,"1,365854","51,219512",",434453","16,333156",,27,10,2,3,180,",761765","45,705883",10,"5,2",309,"1,648889","97,883333",
7821209,644,,38,81,"19,839506","610,740741","6,682596","205,444076",525,"35,866667","1106,857143","11,710887","361,287065",,72,373,140,"3,428571","207,214286","1,146763","69,217036",59,"5,084746","336,610169","1,735945","114,600955",,2,25,93,"4,344086","163,225806","1,342851","50,689083",524,"6,46374","236,335878","2,14236","78,441304",,,,5,"5,8",157,"2,031525","54,414706",639,"9,29421","294,507042","3,066755","97,60976",,644,,,,,,,,,,,,,11,,1,1,30,",259259","7,777778",632,"6,21519","85,537975","2,03163","28,376353",,326,172,16,2,45,",633191","14,246795",130,"2,769231","105,807692",",90172","34,657071",,2,,,,,,,642,"1,066978","16,705607",",353914","5,512809",,7,414,55,"3,090909","150,545455","1,022069","50,150894",168,"8,880952","328,214286","2,803025","104,307986",
7821210,91,,2,8,"20,625","656,25","6,402083","204,506945",81,"34,345679","1136,666667","11,559943","383,397578",,26,15,15,"3,266667",204,"1,077044","66,878214",35,"7,314286","458,571429","2,475439","155,348538",,1,15,11,"3,545455","152,727273","1,125421","48,752525",64,"6,5","267,421875","2,195882","90,640148",,,,5,"2,4",138,",84","48,3",86,"4,674419","271,453488","1,578269","91,653939",,90,1,,,,,,,,,,,,1,2,,,,,,88,"2,284091","88,977273",",768397","29,975221",,,2,4,"1,5",45,",48884","13,91557",85,"3,058824","87,882353","1,04075","29,924479",,,,,,,,,91,2,"31,318681",",668717","10,4923",,47,2,11,"5,272727","158,181818","1,647723","49,431685",31,"9,096774","282,580645","3,027457","94,122996",
7821211,30,,,1,20,600,7,210,29,"43,103448","1405,344828","13,151377","429,885241",,3,15,10,"3,2",204,",964444","65,022222",2,"4,5",285,"1,575","99,75",,20,5,3,"5,666667",170,"1,485755","44,57265",2,"8,5",255,"2,566667",77,,,26,3,"5,333333",145,"1,559012","42,609259",1,8,195,"2,074074","50,555556",,4,3,,,,,,23,2,120,",634096","38,045773",,20,1,,,,,,9,"3,888889","128,333333","1,232871","41,267127",,,,,,,,,30,"4,6",129,"1,399013","40,044229",,1,,,,,,,29,"2,896552","90,517241",",916169","28,715673",,3,27,,,,,,,,,,,
7821212,36,,1,3,"24,666667","673,333333","7,604938","209,049383",32,"48,25","1564,84375","12,948824","418,939016",,13,19,3,6,280,"1,70679","79,398148",1,5,315,"1,944444","122,5",,11,4,19,"4,105263","178,421053","1,11914","48,547895",2,5,225,"1,477778","66,5",,6,24,6,"2,833333","132,5",",837763","38,95561",,,,,,,36,,,,,,,,,,,,,14,,1,1,30,",212121","6,363636",21,"1,666667",100,",454193","26,80031",,,1,,,,,,35,"3,057143","136,285714",",861039","38,299421",,11,,,,,,,25,"1,28",33,",33968","8,790609",,2,1,,,,,,33,"15,484848","480,909091","4,207657","130,450516",
7821213,284,,1,1,22,580,"7,7",203,282,"45,960993","1570,088652","15,019418","512,522763",,67,105,68,"3,735294","214,852941","1,203411","69,782486",44,"6,409091","348,75","2,164101","117,625208",,30,3,6,"3,833333","178,333333","1,113889","52,276235",245,"6,2","255,081633","2,010867","82,60743",,,92,145,"4,57931","130,034483","1,522936","43,235694",47,"5,765957","193,404255","1,916535","64,44294",,284,,,,,,,,,,,,,86,15,,,,,,183,"2,125683","141,557377",",699718","46,565499",,84,3,2,3,45,"1,006536","15,09804",195,"4,723077","77,076923","1,541079","25,102722",,44,,,,,,,240,"1,691667","27,416667",",552022","8,940192",,86,62,27,"4,259259","173,703704","1,212022","48,438816",109,"5,458716","220,366972","1,850773","75,084465",
